Date	Time	Sideral Time	Right Ascension	Declination	Distance to Earth	Equation of Time
2023-08-01	12:00	20:37:23	8:45:44	18:00:19	1.01499	6:23
2023-08-02	12:00	20:41:20	8:49:37	17:45:04	1.01487	6:19
2023-08-03	12:00	20:45:16	8:53:29	17:29:32	1.01474	6:14
2023-08-04	12:00	20:49:13	8:57:20	17:13:43	1.01461	6:09
2023-08-05	12:00	20:53:09	9:01:11	16:57:37	1.01447	6:03
2023-08-06	12:00	20:57:06	9:05:01	16:41:15	1.01434	5:57
2023-08-07	12:00	21:01:03	9:08:51	16:24:36	1.01419	5:50
2023-08-08	12:00	21:04:59	9:12:39	16:07:42	1.01405	5:42
2023-08-09	12:00	21:08:56	9:16:28	15:50:32	1.01390	5:34
2023-08-10	12:00	21:12:52	9:20:16	15:33:06	1.01375	5:25
2023-08-11	12:00	21:16:49	9:24:03	15:15:26	1.01359	5:16
2023-08-12	12:00	21:20:45	9:27:50	14:57:31	1.01343	5:06
2023-08-13	12:00	21:24:42	9:31:36	14:39:21	1.01326	4:56
2023-08-14	12:00	21:28:38	9:35:21	14:20:57	1.01309	4:45
2023-08-15	12:00	21:32:35	9:39:07	14:02:20	1.01291	4:33
2023-08-16	12:00	21:36:32	9:42:51	13:43:29	1.01273	4:21
2023-08-17	12:00	21:40:28	9:46:35	13:24:26	1.01254	4:09
2023-08-18	12:00	21:44:25	9:50:19	13:05:09	1.01235	3:56
2023-08-19	12:00	21:48:21	9:54:02	12:45:40	1.01215	3:42
2023-08-20	12:00	21:52:18	9:57:44	12:25:59	1.01195	3:28
2023-08-21	12:00	21:56:14	10:01:26	12:06:06	1.01174	3:14
2023-08-22	12:00	22:00:11	10:05:08	11:46:02	1.01153	2:59
2023-08-23	12:00	22:04:07	10:08:49	11:25:47	1.01132	2:43
2023-08-24	12:00	22:08:04	10:12:29	11:05:20	1.01110	2:27
2023-08-25	12:00	22:12:01	10:16:10	10:44:44	1.01088	2:11
2023-08-26	12:00	22:15:57	10:19:49	10:23:57	1.01066	1:54
2023-08-27	12:00	22:19:54	10:23:29	10:03:01	1.01043	1:37
2023-08-28	12:00	22:23:50	10:27:08	9:41:55	1.01020	1:19
2023-08-29	12:00	22:27:47	10:30:46	9:20:40	1.00997	1:01
2023-08-30	12:00	22:31:43	10:34:25	8:59:17	1.00974	0:43
2023-08-31	12:00	22:35:40	10:38:02	8:37:45	1.00951	0:24
